index,MORGAN_BTSR
233,01000000011000110001000001100110010000010000100101000001000000001000000000000000110011100010101010001001000000110100100001010100
234,10000000101010001000000000000001110110010100000000000011011000010001000001101000110001000000000010001000001100010000100000100101
235,10000000101010000000000000000000110010010001000110000001000100001001000001000010110000111110000010001000011000000010100100100100
236,11001001001111000000000000100110110010110000010000000001001010110010001011000010110001100100000001011000010100000110110100111100
237,10000110001000000000000010000010010000110100100100000101001000010110010000110010111011100010100001101011000001000100100000100100
238,10000010101000000000000010001010110000010100100110000000001100011100000010100000111011100010101001101001000000000100100000100100
239,00000010011000010000000001100110010000010000100100000001001000011100000000100000111011100010101001001001000000010100100000110100
240,10010000001000001000000000110000110011110000000000001000001000010000000100000000101001100000000000001000011100001101110011110100
241,00001010101010011000000100000000010000000001000000000000100100001000100000000001010000100000100010001010100100000000100100110000
242,00001010101010011000000100100110010001010001010000010100100100001000100000000001110101100000101010001010100100000100100000110100
243,00001010101110011000000100100110010000110001010000000100100100101000101010000001110101100100100010011010100100000100110000111100
244,00001000001110101000000100100111010100110010010000000100100000101000101010000000110101100100100000011000100000000100110000111101
245,11110010101010001001000100010000010000010000000000000011100101001000100001000000110000100010100000011000100010000000100000110100
246,10001000101010001000000000000011101010010100010110000110100110001001110000000010110000111110000010001000010000110010000110110100
247,01000000001000001000000000000110010010010000010001010100001000010000110011000100100101000000001000001001001100010000000010111000
248,11101100001000010001000010001010010000110100100100000001101000011000000000110000110001110010000010101000000100000000110000100100
249,10011101001000000000000011100001111001110100000100000100001000111000000001010100110000100000000000001100000100000000010010100100
250,10000000101010000010000100001001010010011100000000000000001000000000000000000010110010110001000000101100010110001010000101100100
251,11000000001000000011000010011011010000010100100100000001001000000000000010110000110001110010000001101000000100010000110000100100
252,11101110001100000001000110001110000000010100110100000101001000010000000000110000110001110010000000101000000000000000100000110101
253,11000000001001000001000000001110010000010000100000000001001000010010000001110010111001110010010000001000010000000000100000100110
254,01000000001000000001000000011010010000010000100000000101001000000000101100110000110001110010000000001000100000000100100000110100
255,11101100001000000001000010001010010000110100100100000101001000010000000000110000110001110010000000101000000000000000110000100100
256,11111000101010000000000000010110110010011100010001001000000001001001000000000010110011110100000000001000010100000000100100111100
257,10001000101011010010000000000010110010010000000000101001000000001010000011000010110010110100010010001000010100000100000110100100
258,10100000101001000101000010000000010100110000000001000001001000010011011001000010110000110000000000001000000000000000000100100100
259,10001000011000000001001001000011011100010110000001001000001000000000000000100000010010100000100000001000010100010000000000001100
260,10001000101010101010000100001001010100010110000000000100100000101000100000000000110101100001100000101000100000000110100000110101
261,10001110001010000001010000000000111101010010000100000001001000011000000001000100110001101011000000001000001100000000100111100100
262,00000001000000000101001000010001011000100000000001000010000000010100001001000000110100101010000001001000110100011000000000100000
263,10101010101011001001000000100010010000010100000000011000001000001000001010000010110001100110000000011000000100000100100011101100
264,10000000101110001000000000100011011000110100000000000010001001000000001010000000111001100100000000001000001100010100100010100101
265,00000100011000001101000000000000010000110000100001010011001000110000000110100001110001100010010000001000011000010010100100100101
266,11000001001010001000000000010000110110010100000000000011011000010000010001010010110001100100000000001001001100010000100000101101
